iter	Passed	Remaining
0	168	168288
1	170	85065
2	172	57298
3	174	43527
4	176	35192
5	179	29685
6	184	26126
7	186	23081
8	189	20832
9	191	18944
10	195	17588
11	199	16443
12	203	15428
13	205	14470
14	208	13722
15	212	13039
16	214	12391
17	217	11842
18	219	11311
19	220	10809
20	222	10356
21	223	9948
22	225	9570
23	226	9224
24	228	8908
25	230	8640
26	232	8369
27	233	8115
28	235	7876
29	236	7661
30	238	7455
31	240	7261
32	241	7081
33	243	6913
34	245	6759
35	246	6607
36	248	6462
37	249	6325
38	251	6194
39	252	6069
40	254	5954
41	256	5843
42	259	5771
43	260	5667
44	262	5567
45	264	5479
46	265	5391
47	267	5302
48	268	5219
49	271	5159
50	273	5084
51	274	5008
52	276	4945
53	278	4879
54	280	4812
55	281	4747
56	283	4683
57	284	4623
58	286	4568
59	288	4512
60	289	4456
61	291	4404
62	292	4353
63	294	4304
64	295	4256
65	297	4209
66	299	4176
67	301	4136
68	303	4098
69	305	4059
70	307	4023
71	309	3984
72	310	3946
73	312	3907
74	314	3879
75	316	3845
76	317	3811
77	320	3787
78	323	3768
79	324	3733
80	326	3702
81	329	3685
82	330	3646
83	332	3624
84	334	3604
85	336	3574
86	337	3545
87	339	3515
88	341	3495
89	343	3472
90	344	3445
91	346	3418
92	347	3393
93	349	3366
94	350	3340
95	352	3315
96	353	3291
97	355	3268
98	356	3244
99	358	3223
100	359	3202
101	361	3179
102	362	3157
103	363	3135
104	365	3113
105	366	3093
106	368	3072
107	370	3060
108	372	3043
109	374	3026
110	375	3009
111	377	2995
112	379	2980
113	381	2964
114	383	2953
115	388	2959
116	389	2940
117	392	2935
118	394	2920
119	396	2904
120	397	2888
121	398	2870
122	401	2864
123	404	2855
124	405	2840
125	407	2824
126	408	2809
127	410	2796
128	412	2784
129	414	2774
130	416	2763
131	418	2749
132	419	2736
133	421	2725
134	423	2712
135	425	2700
136	426	2687
137	428	2676
138	430	2665
139	431	2653
140	433	2640
141	434	2625
142	436	2614
143	437	2603
144	439	2591
145	441	2581
146	443	2573
147	445	2563
148	446	2551
149	448	2540
150	454	2554
151	456	2546
152	459	2542
153	462	2541
154	464	2533
155	467	2527
156	468	2517
157	471	2511
158	473	2502
159	475	2493
160	475	2480
161	477	2470
162	479	2460
163	480	2451
164	482	2441
165	483	2431
166	487	2430
167	489	2425
168	492	2420
169	493	2411
170	495	2401
171	497	2393
172	499	2385
173	501	2378
174	502	2370
175	504	2361
176	506	2353
177	507	2344
178	510	2341
179	515	2349
180	517	2341
181	518	2332
182	520	2324
183	522	2315
184	523	2306
185	524	2297
186	529	2300
187	530	2292
188	532	2284
189	534	2276
190	535	2268
191	536	2259
192	538	2252
193	542	2253
194	544	2247
195	545	2239
196	547	2231
197	549	2225
198	550	2216
199	552	2208
200	553	2200
201	558	2205
202	560	2199
203	561	2191
204	563	2184
205	564	2176
206	566	2168
207	567	2161
208	570	2159
209	572	2155
210	574	2148
211	576	2141
212	577	2134
213	579	2127
214	581	2121
215	582	2115
216	584	2110
217	586	2104
218	588	2098
219	590	2091
220	591	2086
221	593	2079
222	595	2075
223	599	2077
224	601	2071
225	603	2065
226	604	2058
227	605	2051
228	607	2044
229	608	2037
230	610	2030
231	611	2023
232	613	2019
233	615	2013
234	616	2007
235	618	2001
236	619	1994
237	620	1987
238	622	1980
239	623	1975
240	625	1969
241	626	1963
242	628	1957
243	629	1951
244	631	1945
245	632	1939
246	634	1933
247	635	1926
248	637	1921
249	638	1915
250	639	1909
251	641	1903
252	642	1898
253	644	1892
254	645	1886
255	647	1880
256	648	1875
257	649	1869
258	651	1864
259	652	1858
260	654	1852
261	655	1847
262	657	1842
263	659	1837
264	660	1831
265	661	1826
266	663	1821
267	664	1816
268	666	1811
269	668	1806
270	670	1802
271	671	1798
272	673	1793
273	674	1788
274	676	1782
275	677	1777
276	679	1772
277	680	1767
278	682	1762
279	683	1758
280	686	1756
281	688	1751
282	689	1746
283	690	1741
284	692	1736
285	693	1731
286	694	1726
287	696	1721
288	697	1716
289	699	1713
290	701	1709
291	702	1704
292	704	1699
293	705	1694
294	707	1690
295	708	1685
296	710	1680
297	711	1676
298	713	1671
299	715	1669
300	717	1665
301	719	1662
302	722	1661
303	725	1660
304	727	1656
305	728	1653
306	730	1649
307	732	1644
308	733	1640
309	734	1635
310	736	1631
311	738	1627
312	739	1623
313	741	1618
314	742	1615
315	744	1611
316	746	1607
317	747	1603
318	749	1599
319	750	1595
320	752	1591
321	753	1587
322	755	1583
323	757	1579
324	759	1576
325	760	1572
326	762	1568
327	764	1566
328	766	1562
329	768	1559
330	769	1556
331	772	1554
332	774	1551
333	776	1547
334	777	1544
335	779	1540
336	780	1536
337	782	1532
338	784	1528
339	786	1527
340	788	1524
341	790	1520
342	791	1516
343	793	1513
344	794	1509
345	796	1505
346	797	1501
347	799	1498
348	801	1495
349	803	1491
350	804	1488
351	807	1485
352	809	1482
353	811	1480
354	814	1479
355	816	1476
356	818	1473
357	820	1470
358	821	1467
359	823	1463
360	825	1460
361	828	1459
362	830	1457
363	832	1454
364	834	1451
365	836	1449
366	838	1447
367	841	1445
368	845	1445
369	852	1450
370	854	1448
371	856	1446
372	858	1443
373	862	1444
374	864	1441
375	866	1438
376	868	1435
377	870	1432
378	873	1431
379	875	1428
380	877	1424
381	878	1421
382	880	1418
383	882	1415
384	883	1411
385	885	1408
386	887	1406
387	891	1405
388	893	1403
389	895	1400
390	897	1398
391	899	1395
392	901	1393
393	904	1390
394	906	1388
395	908	1386
396	910	1383
397	912	1380
398	915	1379
399	917	1376
400	920	1374
401	922	1372
402	926	1371
403	928	1369
404	930	1366
405	932	1363
406	934	1361
407	936	1359
408	939	1356
409	941	1354
410	943	1352
411	945	1349
412	947	1347
413	951	1346
414	953	1343
415	954	1340
416	956	1337
417	959	1335
418	961	1333
419	966	1334
420	970	1334
421	972	1332
422	980	1337
423	983	1335
424	985	1333
425	988	1332
426	990	1329
427	992	1326
428	999	1330
429	1001	1327
430	1003	1325
431	1005	1322
432	1007	1318
433	1008	1315
434	1010	1312
435	1012	1309
436	1014	1306
437	1015	1303
438	1017	1300
439	1018	1296
440	1020	1293
441	1021	1290
442	1023	1287
443	1025	1284
444	1027	1281
445	1029	1278
446	1031	1275
